,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
58.5,0.02246056,0.033447265,0.049511463,0.072420432,0.104048038,0.146210053,0.200949461,0.270294979,0.356045812,0.459584959,0.581691881,0.722375016,0.880745029,1.054947149,1.242165527,1.438705019,1.640147141,1.841568508,2.037803073,2.223724907,2.394526633,2.545970083,2.674589792,2.777835867,2.854149651,2.902972425,2.924693367,2.920547533,2.892477412,2.842972647,2.774901958,2.69134958,2.595465956,2.490339554,2.37889378,2.263810339,2.147478283,2.031966411,1.919015668,1.810047692,1.706185576
58.6,0.02203569,0.032876021,0.048755696,0.071442814,0.102819257,0.14471648,0.199197935,0.268319023,0.353911248,0.457393524,0.579581986,0.720519012,0.879342747,1.054215939,1.242327501,1.43997259,1.642708231,1.84557288,2.043351128,2.230859997,2.40323156,2.55616796,2.68614899,2.790578392,2.867862018,2.917417944,2.939624759,2.935718903,2.907654794,2.85794258,2.7894778,2.7053755,2.60881874,2.502928505,2.390659071,2.274720219,2.157525542,2.041164455,1.92739451,1.817650102,1.713063555
58.7,0.021626859,0.032324975,0.048024769,0.070494789,0.101624367,0.143259923,0.197484616,0.266379741,0.351808353,0.455224678,0.577481147,0.718654007,0.877909173,1.053427574,1.24240389,1.441124875,1.645124549,1.849404774,2.048702295,2.237778452,2.411705873,2.566127791,2.69746967,2.803088938,2.881355651,2.931664078,2.954381384,2.950744392,2.922718364,2.872832846,2.804009132,2.719392107,2.622196602,2.515575417,2.402513151,2.285747276,2.167715682,2.050528289,1.93595926,1.825455839,1.720159754
58.8,0.021233496,0.031793471,0.047317942,0.069575562,0.100462545,0.14183957,0.195808742,0.264476447,0.349736533,0.453077907,0.575388894,0.716779513,0.876443709,1.052581238,1.242393551,1.4421603,1.647394014,1.85306156,2.053853404,2.244476616,2.419945536,2.57584531,2.708547527,2.815363363,2.894626787,2.94570765,2.968960833,2.965622514,2.937667668,2.887644094,2.818497735,2.733402299,2.635603505,2.528285241,2.414461865,2.296898136,2.178055992,2.060065746,1.944718178,1.833473488,1.727482988
58.9,0.02085506,0.031280877,0.046634507,0.068684363,0.099332994,0.140454634,0.194169569,0.262608472,0.347695205,0.450952708,0.573304765,0.714895045,0.874945763,1.051676125,1.242295356,1.443077318,1.649514579,1.856540648,2.058801327,2.250950878,2.42794656,2.585316302,2.719378304,2.827397577,2.907671713,2.959545531,2.983360748,2.980351831,2.952502307,2.902377034,2.832945452,2.747409044,2.649043497,2.541063028,2.426511169,2.308179548,2.188553896,2.069784808,1.953679691,1.841711816,1.735042269
59,0.020491033,0.03078659,0.045973783,0.067820454,0.098234944,0.13910435,0.192566373,0.260775162,0.3456838,0.448848584,0.571228306,0.713000128,0.873414752,1.050711446,1.2421082,1.443874405,1.651484226,1.859839487,2.063542982,2.257197678,2.43570501,2.594536606,2.729957795,2.839187537,2.920486765,2.97317464,2.997578815,2.994930955,2.967221933,2.917032429,2.847354194,2.761415386,2.66252071,2.553913926,2.438667129,2.319598387,2.199216961,2.079693613,1.962852397,1.850179775,1.742846813
59.1,0.020140919,0.030310034,0.045335116,0.066983121,0.097167651,0.137787977,0.190998453,0.258975878,0.343701755,0.446765046,0.569159066,0.711094292,0.871850103,1.049686423,1.241830993,1.444550065,1.653300975,1.862955567,2.068075332,2.263213504,2.443217003,2.603502114,2.740281851,2.850729255,2.93306833,2.986591946,3.011612774,3.00935855,2.98182625,2.931611105,2.861725935,2.775424443,2.676039364,2.566843181,2.450935924,2.331161656,2.210052897,2.089800465,1.972245077,1.858886518,1.75090605
59.2,0.019804248,0.029850655,0.044717879,0.066171679,0.096130398,0.136504797,0.189465121,0.257209996,0.341748523,0.444701614,0.567096602,0.709177074,0.870251251,1.048600291,1.241462669,1.445102829,1.654962878,1.865886423,2.072395392,2.268994902,2.450478715,2.612208775,2.750346377,2.862018798,2.945412847,2.999794468,3.025460411,3.023633327,2.996315016,2.94611394,2.876062714,2.789439408,2.689603761,2.579856137,2.463323848,2.342876492,2.221069569,2.100113835,1.981866699,1.867841405,1.759229638
59.3,0.01948057,0.029407925,0.044121468,0.065385465,0.095122488,0.135254113,0.187965713,0.255476907,0.339823564,0.442657815,0.565040478,0.707248017,0.868617641,1.047452303,1.241002181,1.445531258,1.656468027,1.868629631,2.076500227,2.274538473,2.457486379,2.620652602,2.760147341,2.873052291,2.957516812,3.012779278,3.039119563,3.03775405,3.010688041,2.960541874,2.890366634,2.803463547,2.703218293,2.592958244,2.475837317,2.354750168,2.232274994,2.110642373,1.991726429,1.877054015,1.767827475
59.4,0.019169455,0.028981337,0.043545306,0.064623844,0.094143251,0.134035249,0.18649958,0.253776015,0.337926351,0.440633183,0.562990261,0.705306671,0.866948729,1.046241723,1.240448507,1.445833944,1.657814554,1.87118282,2.080386957,2.279840878,2.464236293,2.628829667,2.76968077,2.883825916,2.969376773,3.025543501,3.05258812,3.051719531,3.024945188,2.974895899,2.904639862,2.817500199,2.71688744,2.606155053,2.488482864,2.3667901,2.243677355,2.12139491,2.001833639,1.886534152,1.776709706
