"","Date","mutationG1","mutationG1_low","mutationG1_up","mutationG2","mutationG2_low","mutationG2_up"
"53",2022-02-01,0.0069936126253289,0.00117578961918584,0.0101787675005866,0.0122382820405049,0.00628733729646508,0.0247589337594274
"54",2022-02-02,0.00594641747670174,0.00183402906617192,0.0111710576397496,0.0147619047619048,0.00628733729646508,0.0244386789174301
"55",2022-02-03,0.00690646692394236,0.0022791679041679,0.0109127857370258,0.0156428840616457,0.00757274430209124,0.0274112857424886
"56",2022-02-04,0.00752635607840147,0.00287794171722743,0.0142888892401582,0.0180398167842954,0.010454442309005,0.0264645421684375
"57",2022-02-05,0.00705489085045742,0.00478160056037644,0.0144323216430145,0.0155647069675342,0.0107019714024985,0.0343548057566313
"58",2022-02-06,0.00827152819964761,0.00520904436654544,0.0139693084088561,0.0197242467717973,0.0117726825822324,0.036392930335317
"59",2022-02-07,0.00952592518466455,0.00670459629721544,0.0165281175641055,0.0240405669558416,0.0120419403273091,0.0479235936798962
"60",2022-02-08,0.010346428109586,0.00630744460793722,0.0168701918242394,0.0272447800201479,0.0133776127292037,0.0501386373478169
"61",2022-02-09,0.010346428109586,0.00689614039636555,0.0218975505823962,0.0318898602116894,0.0171428188660153,0.0510636292396057
"62",2022-02-10,0.010346428109586,0.00722884746100554,0.02259767586639,0.0357961048571917,0.0176472764067602,0.0540731305512736
"63",2022-02-11,0.0158607108408583,0.00711839928664326,0.021906250628791,0.0385700299612139,0.0187881594574835,0.0551340425993221
"64",2022-02-12,0.016529070558763,0.00960733162566272,0.0252309923118247,0.0393374301129694,0.019237437967623,0.0588330645650441
"65",2022-02-13,0.0145985686282611,0.00838342697574369,0.0249898018648019,0.0402135184099331,0.0213653458424212,0.0770288893986141
"66",2022-02-14,0.0164481207048357,0.00742481203007518,0.0281461572052597,0.0466186474589836,0.0270975120630497,0.09062867079214
"67",2022-02-15,0.021259118549759,0.0122022052093662,0.0312895238756701,0.0479466814189568,0.0272499760972898,0.082234826750529
"68",2022-02-16,0.0318560442046555,0.0160347781540078,0.0435244404985259,0.0414531749254504,0.029560081012876,0.0772520870448397
"69",2022-02-17,0.0337408499435011,0.0172054149086203,0.0478570036770035,0.040375020548186,0.0256642567662821,0.0837064344508945
"70",2022-02-18,0.0370287221811612,0.0206376017042303,0.0587884635556721,0.0449631396496744,0.0246153300849656,0.0848133382885797
"71",2022-02-19,0.035201631553661,0.0187775627492376,0.0662614505123216,0.0545289761493753,0.0318315369579598,0.0936363624247261
"72",2022-02-20,0.0444435156512555,0.0198053856275987,0.071112105129133,0.063153146238894,0.0304727597619442,0.104261446180539
"73",2022-02-21,0.0498356512899654,0.020222808918223,0.074893234889637,0.0656259875432624,0.0347509848613776,0.10062034527702
"74",2022-02-22,0.0506508643729757,0.0167082407108518,0.0709206676018523,0.0751626720116688,0.0386478726688488,0.118661190752698
"75",2022-02-23,0.0402241227034325,0.0203194914329368,0.0725890379461808,0.0799703643193612,0.0467742790275289,0.129664592113242
"76",2022-02-24,0.0508722600219639,0.0203194914329368,0.0731964067678353,0.0896962432097514,0.0485040539473303,0.139402625257534
"77",2022-02-25,0.0476831754357741,0.0234132628756829,0.076179234812601,0.101670934402018,0.0544537379560307,0.165660130679546
"78",2022-02-26,0.0662367914198646,0.0430107335170202,0.0888081371168562,0.115646258503401,0.0596192958102851,0.177694091550716
"79",2022-02-27,0.0702538726643301,0.0520382395382395,0.102456113966438,0.114795918367347,0.0743186661816664,0.186206125465708
"80",2022-02-28,0.0883678484503214,0.0657767769302433,0.105857683982684,0.124173431293768,0.0879662490164771,0.190174379433962
"81",2022-03-01,0.0918667807421862,0.0651330707721685,0.121952651629437,0.150340136054422,0.0978862966571682,0.195976790105493
"82",2022-03-02,0.100156174704202,0.0775397659063625,0.125456608425853,0.159762651989542,0.102310140357328,0.194814692768053
"83",2022-03-03,0.115791688813147,0.0659259537148192,0.147911970401973,0.193566782820118,0.115206122539438,0.224131708106795
"84",2022-03-04,0.130825057295645,0.0857683982683983,0.165306209659363,0.1996722919736,0.127521217240466,0.243946986309209
"85",2022-03-05,0.144257703081233,0.0887152321362848,0.16867351172704,0.22907577261404,0.124766783718402,0.274472652065532
"86",2022-03-06,0.166666666666667,0.105942311589796,0.203708236974915,0.246400740579586,0.13845057092746,0.305986094763185
"87",2022-03-07,0.175691867656154,0.120397006912827,0.205301216709109,0.271991323686309,0.142545549688407,0.338513755660753
"88",2022-03-08,0.194588744588745,0.136174268858655,0.245771487544262,0.27142057045285,0.163548714558351,0.343853366961093
"89",2022-03-09,0.194588744588745,0.120816088673232,0.253952346094578,0.31414224748528,0.196893507020791,0.380331606774346
"90",2022-03-10,0.224132828296864,0.106831697632027,0.307920431018257,0.329349620868679,0.246910232624518,0.405885223243625
"91",2022-03-11,0.246428571428571,0.149408627087199,0.319272394272395,0.353869629232266,0.269102644992246,0.441908947946595
"92",2022-03-12,0.250079391267585,0.150843680129395,0.359328171828172,0.364704635925706,0.307086459207587,0.47856995842452
"93",2022-03-13,0.271169150981088,0.150742381637567,0.379034910725854,0.396592462135679,0.326057703234254,0.496970851905726
"94",2022-03-14,0.31190413581596,0.149104843643646,0.403597162969459,0.426012658288049,0.365848781720985,0.534226022517887
"95",2022-03-15,0.312540237540238,0.145916068133442,0.436296300816977,0.44502014583629,0.396561208392058,0.552035836437988
"96",2022-03-16,0.380722055722056,0.239720695970696,0.491161805631343,0.483793191120497,0.407924405999918,0.581942138581486
"97",2022-03-17,0.36307760743851,0.247893772893773,0.483180544945251,0.511951096644191,0.423678892492149,0.594560072210588
"98",2022-03-18,0.353701127193593,0.199965659340659,0.506533657108207,0.538149036635235,0.447807686028914,0.607957518671805
"99",2022-03-19,0.404871909004974,0.28125,0.524752033680605,0.564452891510518,0.462513067831535,0.619943226844984
"100",2022-03-20,0.433101350116813,0.2625,0.552246701710988,0.57773930138964,0.487825963718821,0.648542296954224
"101",2022-03-21,0.463494848673676,0.36248324504627,0.580137858173573,0.595188754640257,0.531667196231985,0.651711873487629
"102",2022-03-22,0.495382395382395,0.428710971568114,0.632621321255775,0.634626579836588,0.553439228751811,0.678998224848006
